python_tag,benchmark,class,mode,threads,runs,successful_runs,best_seconds,mean_seconds,best_mops,mean_mops
3.15t,IS,W,3,16,3,3,0.04,0.04,298.11,295.3666666666667
3.15t,IS,W,3,32,3,3,0.06,0.06666666666666667,162.34,159.79333333333332
3.15t,MG,S,2,1,5,5,3.24,3.2400000000000007,2.35,2.3419999999999996
3.15t,MG,S,2,4,5,5,0.87,0.874,8.75,8.706
3.15t,MG,S,2,16,5,5,0.34,0.34600000000000003,22.24,21.855999999999998
3.15t,MG,S,2,32,5,5,0.53,0.592,14.29,12.928
3.15t,MG,S,3,1,5,5,0.01,0.01,824.54,822.2360000000001
3.15t,MG,S,3,4,5,5,0.03,0.03,243.29,237.512
3.15t,MG,S,3,16,5,5,0.1,0.11000000000000001,72.7,69.982
3.15t,MG,S,3,32,5,5,0.22,0.22800000000000004,34.15,33.326
3.15t,MG,W,2,1,3,3,194.48,195.10666666666665,2.5,2.4933333333333336
3.15t,MG,W,2,4,3,3,49.51,50.04333333333333,9.83,9.723333333333334
3.15t,MG,W,2,16,3,3,12.97,13.013333333333334,37.53,37.39333333333334
3.15t,MG,W,2,32,3,3,8.01,8.073333333333332,60.73,60.25666666666666
3.15t,MG,W,3,1,3,3,0.45,0.45,1074.84,1072.9866666666667
3.15t,MG,W,3,4,3,3,0.54,0.5433333333333333,900.46,891.7133333333333
3.15t,MG,W,3,16,3,3,0.59,0.6266666666666666,819.1,772.91
3.15t,MG,W,3,32,3,3,0.78,0.79,625.18,617.3333333333334
