python_tag,benchmark,class,mode,threads,rep,returncode,timed_out,verification,npb_seconds,mops,wall_seconds,warmup_wall_seconds,perf_task_clock_ms,perf_cpus_utilized,perf_cycles,perf_instructions,perf_ipc,perf_cache_references,perf_cache_misses,perf_cache_miss_ratio,perf_context_switches,perf_cpu_migrations,python_version,node,raw_log
3.15t,EP,W,3,32,1,0,False,SUCCESSFUL,0.48,138.41,1.5496675968170166,1.5198004245758057,3883.5,2.552,10553593978,11520925913,1.091659006118342,43943461,8296732,0.18880470065842106,0,0,"3.15.0b1 free-threading build (main, May 16 2026, 13:41:26) [GCC 10.1.0]",ilk-62,/mnt/netapp2/Store_uni/home/ulc/cursos/curso380/omp4py_TFM/results/20260531_202503_profile_versions_core_nopin/raw/py315t__EP__W__m3__t32__r01.txt
3.15t,FT,W,3,1,1,0,False,SUCCESSFUL,4.9,76.09,6.661811113357544,163.59735369682312,6444.05,0.973,17796986349,48188964183,2.7077036099265035,49663789,6941840,0.1397766892091137,0,0,"3.15.0b1 free-threading build (main, May 16 2026, 13:41:26) [GCC 10.1.0]",ilk-62,/mnt/netapp2/Store_uni/home/ulc/cursos/curso380/omp4py_TFM/results/20260531_202503_profile_versions_core_nopin/raw/py315t__FT__W__m3__t01__r01.txt
3.15t,FT,W,3,8,1,0,False,SUCCESSFUL,0.7,529.79,2.0330612659454346,2.110121488571167,7128.3,3.573,19488519914,48552565116,2.4913418428005514,88765821,26656854,0.30030538443394783,0,0,"3.15.0b1 free-threading build (main, May 16 2026, 13:41:26) [GCC 10.1.0]",ilk-62,/mnt/netapp2/Store_uni/home/ulc/cursos/curso380/omp4py_TFM/results/20260531_202503_profile_versions_core_nopin/raw/py315t__FT__W__m3__t08__r01.txt
3.15t,FT,W,3,16,1,0,False,SUCCESSFUL,0.41,900.72,1.7617442607879639,1.5468435287475586,7569.01,4.384,20523056322,48793800757,2.377511418934944,96769498,7957459,0.08223106623948799,0,0,"3.15.0b1 free-threading build (main, May 16 2026, 13:41:26) [GCC 10.1.0]",ilk-62,/mnt/netapp2/Store_uni/home/ulc/cursos/curso380/omp4py_TFM/results/20260531_202503_profile_versions_core_nopin/raw/py315t__FT__W__m3__t16__r01.txt
3.15t,FT,W,3,32,1,0,False,SUCCESSFUL,0.64,581.88,1.8944380283355713,1.820955753326416,10608.53,5.723,26192777233,49359979553,1.8844881974108454,134498328,59478263,0.4422230661484506,0,0,"3.15.0b1 free-threading build (main, May 16 2026, 13:41:26) [GCC 10.1.0]",ilk-62,/mnt/netapp2/Store_uni/home/ulc/cursos/curso380/omp4py_TFM/results/20260531_202503_profile_versions_core_nopin/raw/py315t__FT__W__m3__t32__r01.txt
3.15t,IS,W,3,1,1,0,False,SUCCESSFUL,0.03,321.92,1.4248008728027344,73.35917377471924,1229.27,0.885,3193576385,6176071309,1.9339043644011664,43857313,11030840,0.2515165486768421,0,0,"3.15.0b1 free-threading build (main, May 16 2026, 13:41:26) [GCC 10.1.0]",ilk-221,/mnt/netapp2/Store_uni/home/ulc/cursos/curso380/omp4py_TFM/results/20260531_202503_profile_versions_core_nopin/raw/py315t__IS__W__m3__t01__r01.txt
3.15t,IS,W,3,8,1,0,False,SUCCESSFUL,0.03,399.72,1.2868213653564453,1.2163598537445068,1335.51,1.083,3394546448,6433792527,1.895332005485052,45982593,10611492,0.23077193580622998,0,0,"3.15.0b1 free-threading build (main, May 16 2026, 13:41:26) [GCC 10.1.0]",ilk-221,/mnt/netapp2/Store_uni/home/ulc/cursos/curso380/omp4py_TFM/results/20260531_202503_profile_versions_core_nopin/raw/py315t__IS__W__m3__t08__r01.txt
3.15t,IS,W,3,32,1,0,False,SUCCESSFUL,0.08,130.28,1.3369202613830566,1.2829313278198242,1606.85,1.234,3946285770,7229058672,1.8318639584988798,59812442,15444644,0.2582179139249991,0,0,"3.15.0b1 free-threading build (main, May 16 2026, 13:41:26) [GCC 10.1.0]",ilk-221,/mnt/netapp2/Store_uni/home/ulc/cursos/curso380/omp4py_TFM/results/20260531_202503_profile_versions_core_nopin/raw/py315t__IS__W__m3__t32__r01.txt
3.15t,MG,W,3,1,1,0,False,SUCCESSFUL,0.46,1066.7,2.134626626968384,175.25621461868286,1914.78,0.926,5090609065,14575681761,2.863249087660987,59852466,14934454,0.24952111413421127,0,0,"3.15.0b1 free-threading build (main, May 16 2026, 13:41:26) [GCC 10.1.0]",ilk-12,/mnt/netapp2/Store_uni/home/ulc/cursos/curso380/omp4py_TFM/results/20260531_202503_profile_versions_core_nopin/raw/py315t__MG__W__m3__t01__r01.txt
3.15t,MG,W,3,8,1,0,False,SUCCESSFUL,0.6,814.88,2.2692885398864746,2.574580192565918,6772.79,3.035,18121592180,15485858359,0.8545528563484095,128176211,51060097,0.39835860805715345,0,0,"3.15.0b1 free-threading build (main, May 16 2026, 13:41:26) [GCC 10.1.0]",ilk-12,/mnt/netapp2/Store_uni/home/ulc/cursos/curso380/omp4py_TFM/results/20260531_202503_profile_versions_core_nopin/raw/py315t__MG__W__m3__t08__r01.txt
3.15t,MG,W,3,32,1,0,False,SUCCESSFUL,0.93,524.05,2.8267295360565186,3.140717029571533,11035.47,3.953,27959081556,18308714166,0.6548396137165301,275936372,112265294,0.4068521057455956,0,0,"3.15.0b1 free-threading build (main, May 16 2026, 13:41:26) [GCC 10.1.0]",ilk-12,/mnt/netapp2/Store_uni/home/ulc/cursos/curso380/omp4py_TFM/results/20260531_202503_profile_versions_core_nopin/raw/py315t__MG__W__m3__t32__r01.txt
