python_tag,benchmark,class,mode,threads,rep,returncode,timed_out,verification,npb_seconds,mops,wall_seconds,python_version,node,slurm_job_id,slurm_array_task_id,raw_log
3.15t,CG,S,1,8,3,0,False,SUCCESSFUL,31.3,2.13,36.65508151054382,"3.15.0b1 free-threading build (main, May 16 2026, 13:41:26) [GCC 10.1.0]",clk-106,7140689,4,/mnt/netapp2/Store_uni/home/ulc/cursos/curso380/omp4py_TFM/results/20260526_130149_full315/raw/py315t__CG__S__m1__t08__r03.txt
3.15t,CG,S,1,16,1,0,False,SUCCESSFUL,48.76,1.37,55.476436138153076,"3.15.0b1 free-threading build (main, May 16 2026, 13:41:26) [GCC 10.1.0]",clk-106,7140689,4,/mnt/netapp2/Store_uni/home/ulc/cursos/curso380/omp4py_TFM/results/20260526_130149_full315/raw/py315t__CG__S__m1__t16__r01.txt
3.15t,CG,S,1,16,2,0,False,SUCCESSFUL,48.13,1.38,54.8992702960968,"3.15.0b1 free-threading build (main, May 16 2026, 13:41:26) [GCC 10.1.0]",clk-106,7140689,4,/mnt/netapp2/Store_uni/home/ulc/cursos/curso380/omp4py_TFM/results/20260526_130149_full315/raw/py315t__CG__S__m1__t16__r02.txt
3.15t,CG,S,1,16,3,0,False,SUCCESSFUL,51.1,1.3,58.53685116767883,"3.15.0b1 free-threading build (main, May 16 2026, 13:41:26) [GCC 10.1.0]",clk-47,7140767,5,/mnt/netapp2/Store_uni/home/ulc/cursos/curso380/omp4py_TFM/results/20260526_130149_full315/raw/py315t__CG__S__m1__t16__r03.txt
3.15t,CG,S,1,32,1,0,False,SUCCESSFUL,88.9,0.75,98.48628497123718,"3.15.0b1 free-threading build (main, May 16 2026, 13:41:26) [GCC 10.1.0]",clk-47,7140767,5,/mnt/netapp2/Store_uni/home/ulc/cursos/curso380/omp4py_TFM/results/20260526_130149_full315/raw/py315t__CG__S__m1__t32__r01.txt
3.15t,CG,S,1,32,2,0,False,SUCCESSFUL,89.31,0.75,98.99246168136597,"3.15.0b1 free-threading build (main, May 16 2026, 13:41:26) [GCC 10.1.0]",clk-47,7140767,5,/mnt/netapp2/Store_uni/home/ulc/cursos/curso380/omp4py_TFM/results/20260526_130149_full315/raw/py315t__CG__S__m1__t32__r02.txt
3.15t,CG,S,1,32,3,0,False,SUCCESSFUL,89.22,0.75,98.87733006477356,"3.15.0b1 free-threading build (main, May 16 2026, 13:41:26) [GCC 10.1.0]",clk-47,7140767,5,/mnt/netapp2/Store_uni/home/ulc/cursos/curso380/omp4py_TFM/results/20260526_130149_full315/raw/py315t__CG__S__m1__t32__r03.txt
3.15t,CG,S,2,1,1,0,False,SUCCESSFUL,17.86,3.73,69.75979900360107,"3.15.0b1 free-threading build (main, May 16 2026, 13:41:26) [GCC 10.1.0]",clk-47,7140767,5,/mnt/netapp2/Store_uni/home/ulc/cursos/curso380/omp4py_TFM/results/20260526_130149_full315/raw/py315t__CG__S__m2__t01__r01.txt
3.15t,CG,S,2,1,2,0,False,SUCCESSFUL,17.78,3.75,68.49203896522522,"3.15.0b1 free-threading build (main, May 16 2026, 13:41:26) [GCC 10.1.0]",clk-47,7140767,5,/mnt/netapp2/Store_uni/home/ulc/cursos/curso380/omp4py_TFM/results/20260526_130149_full315/raw/py315t__CG__S__m2__t01__r02.txt
3.15t,CG,S,2,1,3,0,False,SUCCESSFUL,17.94,3.72,69.3066394329071,"3.15.0b1 free-threading build (main, May 16 2026, 13:41:26) [GCC 10.1.0]",clk-47,7140767,5,/mnt/netapp2/Store_uni/home/ulc/cursos/curso380/omp4py_TFM/results/20260526_130149_full315/raw/py315t__CG__S__m2__t01__r03.txt
3.15t,CG,S,2,2,1,0,False,SUCCESSFUL,18.46,3.61,69.11894989013672,"3.15.0b1 free-threading build (main, May 16 2026, 13:41:26) [GCC 10.1.0]",clk-47,7140767,5,/mnt/netapp2/Store_uni/home/ulc/cursos/curso380/omp4py_TFM/results/20260526_130149_full315/raw/py315t__CG__S__m2__t02__r01.txt
3.15t,CG,S,2,2,2,0,False,SUCCESSFUL,18.62,3.58,69.91544651985168,"3.15.0b1 free-threading build (main, May 16 2026, 13:41:26) [GCC 10.1.0]",clk-62,7140786,6,/mnt/netapp2/Store_uni/home/ulc/cursos/curso380/omp4py_TFM/results/20260526_130149_full315/raw/py315t__CG__S__m2__t02__r02.txt
3.15t,CG,S,2,2,3,0,False,SUCCESSFUL,18.84,3.54,69.41126465797424,"3.15.0b1 free-threading build (main, May 16 2026, 13:41:26) [GCC 10.1.0]",clk-62,7140786,6,/mnt/netapp2/Store_uni/home/ulc/cursos/curso380/omp4py_TFM/results/20260526_130149_full315/raw/py315t__CG__S__m2__t02__r03.txt
3.15t,CG,S,2,4,1,0,False,SUCCESSFUL,22.17,3.01,72.97926998138428,"3.15.0b1 free-threading build (main, May 16 2026, 13:41:26) [GCC 10.1.0]",clk-62,7140786,6,/mnt/netapp2/Store_uni/home/ulc/cursos/curso380/omp4py_TFM/results/20260526_130149_full315/raw/py315t__CG__S__m2__t04__r01.txt
3.15t,CG,S,2,4,2,0,False,SUCCESSFUL,21.58,3.09,72.6275806427002,"3.15.0b1 free-threading build (main, May 16 2026, 13:41:26) [GCC 10.1.0]",clk-62,7140786,6,/mnt/netapp2/Store_uni/home/ulc/cursos/curso380/omp4py_TFM/results/20260526_130149_full315/raw/py315t__CG__S__m2__t04__r02.txt
3.15t,CG,S,2,4,3,0,False,SUCCESSFUL,21.86,3.05,73.2694640159607,"3.15.0b1 free-threading build (main, May 16 2026, 13:41:26) [GCC 10.1.0]",clk-62,7140786,6,/mnt/netapp2/Store_uni/home/ulc/cursos/curso380/omp4py_TFM/results/20260526_130149_full315/raw/py315t__CG__S__m2__t04__r03.txt
3.15t,CG,S,2,8,1,0,False,SUCCESSFUL,27.51,2.42,78.98624420166016,"3.15.0b1 free-threading build (main, May 16 2026, 13:41:26) [GCC 10.1.0]",clk-62,7140786,6,/mnt/netapp2/Store_uni/home/ulc/cursos/curso380/omp4py_TFM/results/20260526_130149_full315/raw/py315t__CG__S__m2__t08__r01.txt
3.15t,CG,S,2,8,2,0,False,SUCCESSFUL,27.52,2.42,78.66721868515015,"3.15.0b1 free-threading build (main, May 16 2026, 13:41:26) [GCC 10.1.0]",clk-62,7140786,6,/mnt/netapp2/Store_uni/home/ulc/cursos/curso380/omp4py_TFM/results/20260526_130149_full315/raw/py315t__CG__S__m2__t08__r02.txt
3.15t,CG,S,2,8,3,0,False,SUCCESSFUL,27.8,2.4,79.05605792999268,"3.15.0b1 free-threading build (main, May 16 2026, 13:41:26) [GCC 10.1.0]",clk-62,7140786,6,/mnt/netapp2/Store_uni/home/ulc/cursos/curso380/omp4py_TFM/results/20260526_130149_full315/raw/py315t__CG__S__m2__t08__r03.txt
3.15t,CG,S,2,16,1,0,False,SUCCESSFUL,37.1,1.8,86.5902647972107,"3.15.0b1 free-threading build (main, May 16 2026, 13:41:26) [GCC 10.1.0]",clk-106,7140787,7,/mnt/netapp2/Store_uni/home/ulc/cursos/curso380/omp4py_TFM/results/20260526_130149_full315/raw/py315t__CG__S__m2__t16__r01.txt
3.15t,CG,S,2,16,2,0,False,SUCCESSFUL,36.33,1.83,84.84938049316406,"3.15.0b1 free-threading build (main, May 16 2026, 13:41:26) [GCC 10.1.0]",clk-106,7140787,7,/mnt/netapp2/Store_uni/home/ulc/cursos/curso380/omp4py_TFM/results/20260526_130149_full315/raw/py315t__CG__S__m2__t16__r02.txt
3.15t,CG,S,2,16,3,0,False,SUCCESSFUL,36.22,1.84,84.59607434272766,"3.15.0b1 free-threading build (main, May 16 2026, 13:41:26) [GCC 10.1.0]",clk-106,7140787,7,/mnt/netapp2/Store_uni/home/ulc/cursos/curso380/omp4py_TFM/results/20260526_130149_full315/raw/py315t__CG__S__m2__t16__r03.txt
3.15t,CG,S,2,32,1,0,False,SUCCESSFUL,63.82,1.04,114.32902097702026,"3.15.0b1 free-threading build (main, May 16 2026, 13:41:26) [GCC 10.1.0]",clk-106,7140787,7,/mnt/netapp2/Store_uni/home/ulc/cursos/curso380/omp4py_TFM/results/20260526_130149_full315/raw/py315t__CG__S__m2__t32__r01.txt
3.15t,CG,S,2,32,2,0,False,SUCCESSFUL,64.24,1.04,116.15789103507996,"3.15.0b1 free-threading build (main, May 16 2026, 13:41:26) [GCC 10.1.0]",clk-106,7140787,7,/mnt/netapp2/Store_uni/home/ulc/cursos/curso380/omp4py_TFM/results/20260526_130149_full315/raw/py315t__CG__S__m2__t32__r02.txt
3.15t,CG,S,2,32,3,0,False,SUCCESSFUL,64.65,1.03,116.28987336158752,"3.15.0b1 free-threading build (main, May 16 2026, 13:41:26) [GCC 10.1.0]",clk-106,7140787,7,/mnt/netapp2/Store_uni/home/ulc/cursos/curso380/omp4py_TFM/results/20260526_130149_full315/raw/py315t__CG__S__m2__t32__r03.txt
3.15t,CG,S,3,1,1,0,False,SUCCESSFUL,0.17,399.54,48.125434160232544,"3.15.0b1 free-threading build (main, May 16 2026, 13:41:26) [GCC 10.1.0]",clk-106,7140787,7,/mnt/netapp2/Store_uni/home/ulc/cursos/curso380/omp4py_TFM/results/20260526_130149_full315/raw/py315t__CG__S__m3__t01__r01.txt
3.15t,CG,S,3,1,2,0,False,SUCCESSFUL,0.17,401.05,48.274524450302124,"3.15.0b1 free-threading build (main, May 16 2026, 13:41:26) [GCC 10.1.0]",clk-106,7140787,7,/mnt/netapp2/Store_uni/home/ulc/cursos/curso380/omp4py_TFM/results/20260526_130149_full315/raw/py315t__CG__S__m3__t01__r02.txt
3.15t,CG,S,3,1,3,0,False,SUCCESSFUL,0.2,327.23,53.309978008270264,"3.15.0b1 free-threading build (main, May 16 2026, 13:41:26) [GCC 10.1.0]",clk-59,7140801,8,/mnt/netapp2/Store_uni/home/ulc/cursos/curso380/omp4py_TFM/results/20260526_130149_full315/raw/py315t__CG__S__m3__t01__r03.txt
3.15t,CG,S,3,2,1,0,False,SUCCESSFUL,0.24,274.6,52.45294141769409,"3.15.0b1 free-threading build (main, May 16 2026, 13:41:26) [GCC 10.1.0]",clk-59,7140801,8,/mnt/netapp2/Store_uni/home/ulc/cursos/curso380/omp4py_TFM/results/20260526_130149_full315/raw/py315t__CG__S__m3__t02__r01.txt
3.15t,CG,S,3,2,2,0,False,SUCCESSFUL,0.24,282.49,52.91453957557678,"3.15.0b1 free-threading build (main, May 16 2026, 13:41:26) [GCC 10.1.0]",clk-59,7140801,8,/mnt/netapp2/Store_uni/home/ulc/cursos/curso380/omp4py_TFM/results/20260526_130149_full315/raw/py315t__CG__S__m3__t02__r02.txt
3.15t,CG,S,3,2,3,0,False,SUCCESSFUL,0.24,280.59,52.68123412132263,"3.15.0b1 free-threading build (main, May 16 2026, 13:41:26) [GCC 10.1.0]",clk-59,7140801,8,/mnt/netapp2/Store_uni/home/ulc/cursos/curso380/omp4py_TFM/results/20260526_130149_full315/raw/py315t__CG__S__m3__t02__r03.txt
